# -------------------------------------------------------
# Free IP2Location Firewall List by Country
# Source: https://www.ip2location.com/free/visitor-blocker
# Last Generated: 10 Jan 2024 23:55:20 GMT
# [Important] Please update this list every month
#sudo wget https://raw.githubusercontent.com/arkh91/public_script_files/main/firewall/Thailand-firewall-range.txt
# -------------------------------------------------------
#Begin IP Address	End IP Address	Total Count
202.60.192.0	202.60.207.255	4,096
202.69.136.0	202.69.143.255	2,048
202.7.59.0	202.7.59.255	256
202.71.112.0	202.71.127.255	4,096
202.8.65.0	202.8.71.255	1,792
202.8.78.0	202.8.79.255	512
202.8.84.0	202.8.87.255	1,024
202.80.224.0	202.80.255.255	8,192
202.87.100.0	202.87.103.255	1,024
202.9.81.0	202.9.81.255	256
202.9.90.0	202.9.90.255	256
202.90.4.0	202.90.7.255	1,024
202.91.16.0	202.91.23.255	2,048
202.93.48.0	202.93.63.255	4,096
202.94.166.0	202.94.166.255	256
202.94.168.0	202.94.171.255	1,024
202.94.240.0	202.94.255.255	4,096
202.94.73.0	202.94.73.255	256
202.94.76.0	202.94.77.255	512
203.101.129.0	203.101.133.255	1,280
203.101.136.0	203.101.159.255	6,144
203.107.128.0	203.107.255.255	32,768
203.11.74.0	203.11.74.255	256
203.113.0.0	203.113.127.255	32,768
203.114.68.0	203.114.71.255	1,024
203.114.96.0	203.114.127.255	8,192
203.118.64.0	203.118.127.255	16,384
203.121.128.0	203.121.153.255	6,656
203.121.159.0	203.121.166.255	2,048
203.121.168.0	203.121.169.255	512
203.121.171.0	203.121.174.255	1,024
203.121.176.0	203.121.180.255	1,280
203.121.182.0	203.121.182.255	256
203.121.185.0	203.121.186.255	512
203.121.188.0	203.121.191.255	1,024
203.130.128.0	203.130.159.255	8,192
203.131.208.0	203.131.223.255	4,096
